Amethyst          Teldrassil Purple                                     #af5fd7      
Anakiwa           Glitter Shower                                        #87ffff      
Aquamarine        Ineffable Green                                       #5fffaf      
Aquamarine        Rare Wind                                             #5fffd7      
Aquamarine        Tibetan Plateau                                       #87ffd7      
Au Chico          Rabbit Paws                                           #875f5f      
Azure Radiance    Bubble Bobble P2                                      #0087ff      
Bamboo            Ancient Bamboo                                        #d75f00      
Bay Leaf          Chatty Cricket                                        #87af87      
Bitter Lemon      Chartreuse Shot                                       #d7d700      
Black             Black                                                 #000000      
Blaze Orange      Vivid Orange                                          #ff5f00      
Blue              Blue                                                  #0000ff      
Blue Ribbon       Bright Blue                                           #005fff      
Blue Stone        Mosque                                                #005f5f      
Blush Pink        Darling Bud                                           #ff87ff      
Bondi Blue        Fiji                                                  #00afaf      
Bouquet           Regal Orchid                                          #af87af      
Brandy Rose       Orchid Red                                            #af8787      
Bright Green      Bright Green                                          #5fff00      
Bright Green      Radioactive Lilypad                                   #5fd700      
Bright Red        Red Door                                              #af0000      
Bright Turquoise  Ice Ice Baby                                          #00ffd7      
Bright Turquoise  Neon Blue                                             #00d7ff      
Brink Pink        Brink Pink                                            #ff5f87      
Buddha Gold       Honey and Thyme                                       #afaf00      
Can Can           Springtime Bloom                                      #d787af      
Canary            Isotonic Water                                        #d7ff5f      
Cardinal Pink     Grapest                                               #87005f      
Caribbean Green   Channel Marker Green                                  #00d7af      
Caribbean Green   Underwater Fern                                       #00d787      
Carnation         Fusion Red                                            #ff5f5f      
Cerulean          Blue Atoll                                            #00afd7      
Charlotte         Celeste                                               #afffff      
Chartreuse        Lasting Lime                                          #87ff00      
Chartreuse Yellow Lime Zest                                             #d7ff00      
Chelsea Cucumber  Chelsea Cucumber                                      #87af5f      
Chetwode Blue     Bailey Bells                                          #8787d7      
Chicago           Rhine Castle                                          #5f5f5f      
Christi           Kermit Green                                          #5faf00      
Clairvoyant       Clear Plum                                            #5f005f      
Clam Shell        Mary Rose                                             #d7afaf      
Clay Creek        Mosstone                                              #87875f      
Conifer           Lime Lizard                                           #afd75f      
Copperfield       Bright Sienna                                         #d7875f      
Cornflower Blue   Deep Denim                                            #5f87ff      
Cornflower Blue   Tiān Lán Sky                                          #5fafff      
Cornflower Lilac  Fancy Flamingo                                        #ffafaf      
Cosmos            Forgotten Pink                                        #ffd7d7      
Cranberry         Surfer Girl                                           #d75f87      
Cumulus           Poetic Yellow                                         #ffffd7      
Cyan / Aqua       Aqua                                                  #00ffff      
Dandelion         Common Dandelion                                      #ffd75f      
Danube            Blue Jay                                              #5f87d7      
Dark Blue         Bluealicious                                          #0000d7      
Dark Blue         Bohemian Blue                                         #0000af      
De York           Greek Garden                                          #87d787      
Deep Cerulean     Stomy Shower                                          #0087af      
Deep Sea          Absinthe Turquoise                                    #00875f      
Deluge            Lusty Lavender                                        #875faf      
Dodger Blue       Krishna Blue                                          #00afff      
Dolly             Cinque Foil                                           #ffff87      
Dolphin           Purple Balloon                                        #5f5f87      
Downy             Medium Aquamarine                                     #5fd7af      
Dull Lavender     Lilac Geode                                           #af87ff      
